file_id,item_id,type,name,reqJob,reqLevel,incMAD,incPAD,limitBreak,cash,path
01372029,1372029,短杖/Wand,火焰之杖,2,48,73,45,2147483647,0,gms-server/wz/Character.wz/Weapon/01372029.img.xml
01372030,1372030,短杖/Wand,天使之翼,2,58,83,51,2147483647,0,gms-server/wz/Character.wz/Weapon/01372030.img.xml
01372031,1372031,短杖/Wand,圣贤短杖,0,54,68,45,2147483647,0,gms-server/wz/Character.wz/Weapon/01372031.img.xml
01372032,1372032,短杖/Wand,佘太君龙杖,2,108,123,75,2147483647,0,gms-server/wz/Character.wz/Weapon/01372032.img.xml
01372033,1372033,短杖/Wand,圣贤短杖,0,54,68,45,2147483647,0,gms-server/wz/Character.wz/Weapon/01372033.img.xml
01372034,1372034,短杖/Wand,枫叶仙姬杖,2,64,80,49,2147483647,0,gms-server/wz/Character.wz/Weapon/01372034.img.xml
01372035,1372035,短杖/Wand,火灵珠短杖,2,70,85,56,2147483647,0,gms-server/wz/Character.wz/Weapon/01372035.img.xml
01372036,1372036,短杖/Wand,毒灵珠短杖,2,70,85,56,2147483647,0,gms-server/wz/Character.wz/Weapon/01372036.img.xml
01372037,1372037,短杖/Wand,冰灵珠短杖,2,70,85,56,2147483647,0,gms-server/wz/Character.wz/Weapon/01372037.img.xml
01372038,1372038,短杖/Wand,雷灵珠短杖,2,70,85,56,2147483647,0,gms-server/wz/Character.wz/Weapon/01372038.img.xml
01372039,1372039,短杖/Wand,爆炎之杖,2,130,145,92,2147483647,0,gms-server/wz/Character.wz/Weapon/01372039.img.xml
01372040,1372040,短杖/Wand,剧毒之杖,2,130,145,92,2147483647,0,gms-server/wz/Character.wz/Weapon/01372040.img.xml
01372041,1372041,短杖/Wand,寒冰之杖,2,130,145,92,2147483647,0,gms-server/wz/Character.wz/Weapon/01372041.img.xml
01372042,1372042,短杖/Wand,狂雷之杖,2,130,145,92,2147483647,0,gms-server/wz/Character.wz/Weapon/01372042.img.xml
01372043,1372043,短杖/Wand,初级魔法师的杖,2,8,25,16,2147483647,0,gms-server/wz/Character.wz/Weapon/01372043.img.xml
01372044,1372044,短杖/Wand,永恒蝶翼杖,2,118,138,82,2147483647,0,gms-server/wz/Character.wz/Weapon/01372044.img.xml
01372045,1372045,短杖/Wand,重生蝶翼杖,2,118,133,81,2147483647,0,gms-server/wz/Character.wz/Weapon/01372045.img.xml
01372046,1372046,短杖/Wand,圣诞六翼天使武器(短杖),2,10,80,49,2147483647,0,gms-server/wz/Character.wz/Weapon/01372046.img.xml
01382000,1382000,长杖/Staff,木制长杖,2,10,25,20,2147483647,0,gms-server/wz/Character.wz/Weapon/01382000.img.xml
01382001,1382001,长杖/Staff,精灵长杖,2,45,60,41,2147483647,0,gms-server/wz/Character.wz/Weapon/01382001.img.xml
01382002,1382002,长杖/Staff,法师长杖,2,25,40,29,2147483647,0,gms-server/wz/Character.wz/Weapon/01382002.img.xml
01382003,1382003,长杖/Staff,蓝宝石长杖,2,15,30,23,2147483647,0,gms-server/wz/Character.wz/Weapon/01382003.img.xml
01382004,1382004,长杖/Staff,古树长杖,2,20,35,26,2147483647,0,gms-server/wz/Character.wz/Weapon/01382004.img.xml
01382005,1382005,长杖/Staff,祖母绿长杖,2,15,30,23,2147483647,0,gms-server/wz/Character.wz/Weapon/01382005.img.xml
01382006,1382006,长杖/Staff,白龙之杖,2,55,70,47,2147483647,0,gms-server/wz/Character.wz/Weapon/01382006.img.xml
01382007,1382007,长杖/Staff,魔灵之翼,2,65,80,53,2147483647,0,gms-server/wz/Character.wz/Weapon/01382007.img.xml
01382008,1382008,长杖/Staff,魔灵之魂,2,85,100,65,2147483647,0,gms-server/wz/Character.wz/Weapon/01382008.img.xml
01382009,1382009,长杖/Staff,枫叶权杖,2,35,48,35,2147483647,0,gms-server/wz/Character.wz/Weapon/01382009.img.xml
01382010,1382010,长杖/Staff,死灵法杖,2,75,90,59,2147483647,0,gms-server/wz/Character.wz/Weapon/01382010.img.xml
01382011,1382011,长杖/Staff,枫树杖,2,51,67,42,2147483647,0,gms-server/wz/Character.wz/Weapon/01382011.img.xml
01382012,1382012,长杖/Staff,枫叶杖,2,43,58,39,2147483647,0,gms-server/wz/Character.wz/Weapon/01382012.img.xml
01382013,1382013,长杖/Staff,烈焰之杖,2,80,96,63,2147483647,0,gms-server/wz/Character.wz/Weapon/01382013.img.xml
01382014,1382014,长杖/Staff,孙家之杖,2,52,70,41,2147483647,0,gms-server/wz/Character.wz/Weapon/01382014.img.xml
01382015,1382015,长杖/Staff,毒蘑菇,2,30,45,30,2147483647,0,gms-server/wz/Character.wz/Weapon/01382015.img.xml
01382016,1382016,长杖/Staff,香菇,2,92,108,66,2147483647,0,gms-server/wz/Character.wz/Weapon/01382016.img.xml
01382017,1382017,长杖/Staff,金轮杖,2,30,44,30,2147483647,0,gms-server/wz/Character.wz/Weapon/01382017.img.xml
01382018,1382018,长杖/Staff,翡翠之杖,2,35,50,35,2147483647,0,gms-server/wz/Character.wz/Weapon/01382018.img.xml
01382019,1382019,长杖/Staff,护法之杖,2,40,55,38,2147483647,0,gms-server/wz/Character.wz/Weapon/01382019.img.xml
01382020,1382020,长杖/Staff,精灵长杖,2,35,70,41,2147483647,0,gms-server/wz/Character.wz/Weapon/01382020.img.xml
01382021,1382021,长杖/Staff,白龙之杖,2,45,80,47,2147483647,0,gms-server/wz/Character.wz/Weapon/01382021.img.xml
01382022,1382022,长杖/Staff,魔灵之翼,2,55,90,53,2147483647,0,gms-server/wz/Character.wz/Weapon/01382022.img.xml
01382023,1382023,长杖/Staff,死灵法杖,2,65,100,59,2147483647,0,gms-server/wz/Character.wz/Weapon/01382023.img.xml
01382024,1382024,长杖/Staff,魔灵之魂,2,75,110,65,2147483647,0,gms-server/wz/Character.wz/Weapon/01382024.img.xml
01382025,1382025,长杖/Staff,精灵长杖,2,35,70,41,2147483647,0,gms-server/wz/Character.wz/Weapon/01382025.img.xml
01382026,1382026,长杖/Staff,白龙之杖,2,45,80,47,2147483647,0,gms-server/wz/Character.wz/Weapon/01382026.img.xml
01382027,1382027,长杖/Staff,魔灵之翼,2,55,90,53,2147483647,0,gms-server/wz/Character.wz/Weapon/01382027.img.xml
01382028,1382028,长杖/Staff,死灵法杖,2,65,100,59,2147483647,0,gms-server/wz/Character.wz/Weapon/01382028.img.xml
01382029,1382029,长杖/Staff,魔灵之魂,2,75,110,65,2147483647,0,gms-server/wz/Character.wz/Weapon/01382029.img.xml
01382030,1382030,长杖/Staff,精灵长杖,2,35,60,41,2147483647,0,gms-server/wz/Character.wz/Weapon/01382030.img.xml
01382031,1382031,长杖/Staff,白龙之杖,2,45,70,47,2147483647,0,gms-server/wz/Character.wz/Weapon/01382031.img.xml
01382032,1382032,长杖/Staff,魔灵之翼,2,55,80,53,2147483647,0,gms-server/wz/Character.wz/Weapon/01382032.img.xml
01382033,1382033,长杖/Staff,死灵法杖,2,65,90,59,2147483647,0,gms-server/wz/Character.wz/Weapon/01382033.img.xml
01382034,1382034,长杖/Staff,魔灵之魂,2,75,100,65,2147483647,0,gms-server/wz/Character.wz/Weapon/01382034.img.xml
01382035,1382035,长杖/Staff,冰肌玲珑杖,2,95,110,71,2147483647,0,gms-server/wz/Character.wz/Weapon/01382035.img.xml
01382036,1382036,长杖/Staff,黑精灵王杖,2,110,125,80,2147483647,0,gms-server/wz/Character.wz/Weapon/01382036.img.xml
01382037,1382037,长杖/Staff,偃月之杖,2,102,118,72,2147483647,0,gms-server/wz/Character.wz/Weapon/01382037.img.xml
01382039,1382039,长杖/Staff,枫叶丹心杖,2,64,80,50,2147483647,0,gms-server/wz/Character.wz/Weapon/01382039.img.xml
01382040,1382040,长杖/Staff,枫叶3周年旗,2,30,44,30,2147483647,0,gms-server/wz/Character.wz/Weapon/01382040.img.xml
01382041,1382041,长杖/Staff,夜行权杖,2,43,58,39,2147483647,0,gms-server/wz/Character.wz/Weapon/01382041.img.xml
01382042,1382042,长杖/Staff,粉色花边游泳圈,2,30,60,38,2147483647,0,gms-server/wz/Character.wz/Weapon/01382042.img.xml
01382043,1382043,长杖/Staff,新加坡国旗（长杖）,2,30,44,30,2147483647,0,gms-server/wz/Character.wz/Weapon/01382043.img.xml
01382044,1382044,长杖/Staff,马来西亚国旗（长杖）,2,30,44,30,2147483647,0,gms-server/wz/Character.wz/Weapon/01382044.img.xml
01382045,1382045,长杖/Staff,火灵珠长杖,2,103,118,72,2147483647,0,gms-server/wz/Character.wz/Weapon/01382045.img.xml
01382046,1382046,长杖/Staff,毒灵珠长杖,2,103,118,72,2147483647,0,gms-server/wz/Character.wz/Weapon/01382046.img.xml
01382047,1382047,长杖/Staff,冰灵珠长杖,2,103,118,72,2147483647,0,gms-server/wz/Character.wz/Weapon/01382047.img.xml
01382048,1382048,长杖/Staff,雷灵珠长杖,2,103,118,72,2147483647,0,gms-server/wz/Character.wz/Weapon/01382048.img.xml
01382049,1382049,长杖/Staff,朱雀长杖,2,163,178,108,2147483647,0,gms-server/wz/Character.wz/Weapon/01382049.img.xml
01382050,1382050,长杖/Staff,玄武长杖,2,163,178,108,2147483647,0,gms-server/wz/Character.wz/Weapon/01382050.img.xml
01382051,1382051,长杖/Staff,白虎长杖,2,163,178,108,2147483647,0,gms-server/wz/Character.wz/Weapon/01382051.img.xml
01382052,1382052,长杖/Staff,青龙长杖,2,163,178,108,2147483647,0,gms-server/wz/Character.wz/Weapon/01382052.img.xml
01382053,1382053,长杖/Staff,Celestial Staff,2,70,90,60,2147483647,0,gms-server/wz/Character.wz/Weapon/01382053.img.xml
01382054,1382054,长杖/Staff,埋没,2,10,32,20,2147483647,0,gms-server/wz/Character.wz/Weapon/01382054.img.xml
01382055,1382055,长杖/Staff,埋没Ⅱ,2,40,62,40,2147483647,0,gms-server/wz/Character.wz/Weapon/01382055.img.xml
01382056,1382056,长杖/Staff,埋没Ⅲ,2,80,102,60,2147483647,0,gms-server/wz/Character.wz/Weapon/01382056.img.xml
01382057,1382057,长杖/Staff,永恒冰轮杖,2,120,140,88,2147483647,0,gms-server/wz/Character.wz/Weapon/01382057.img.xml
01382058,1382058,长杖/Staff,毁灭之杖,0,0,,,2147483647,1,gms-server/wz/Character.wz/Weapon/01382058.img.xml
01382059,1382059,长杖/Staff,重生冰轮杖,2,120,135,86,2147483647,0,gms-server/wz/Character.wz/Weapon/01382059.img.xml
01382060,1382060,长杖/Staff,绯红巨炮,2,100,117,72,2147483647,0,gms-server/wz/Character.wz/Weapon/01382060.img.xml
01382062,1382062,长杖/Staff,圣诞六翼天使武器(长杖),2,10,48,35,2147483647,0,gms-server/wz/Character.wz/Weapon/01382062.img.xml
